,2024-11-30,2023-11-30,2022-11-30,2021-11-30
Free Cash Flow,2231876000.0,5079939000.0,3208454000.0,2467602000.0
Repurchase Of Capital Stock,-2256464000.0,-1182711000.0,-1039309000.0,-1430212000.0
Repayment Of Debt,-597389000.0,-1226251000.0,-623079000.0,-1355063000.0
Issuance Of Debt,,0.0,0.0,13973000.0
Issuance Of Capital Stock,,,,0.0
Capital Expenditure,-171503000.0,-99799000.0,-57214000.0,-65172000.0
Interest Paid Supplemental Data,54921000.0,81223000.0,67842000.0,47720000.0
Income Tax Paid Supplemental Data,790476000.0,1864941000.0,1273166000.0,1140858000.0
End Cash Position,4990210000.0,6570938000.0,4815770000.0,2955683000.0
Beginning Cash Position,6570938000.0,4815770000.0,2955683000.0,2932730000.0
Changes In Cash,-1580728000.0,1755168000.0,1860087000.0,22953000.0
Financing Cash Flow,-3681550000.0,-3247589000.0,-1277279000.0,-2404735000.0
Cash Flow From Continuing Financing Activities,-3681550000.0,-3247589000.0,-1277279000.0,-2404735000.0
Net Other Financing Charges,-46026000.0,-436779000.0,414080000.0,414236000.0
Cash Dividends Paid,-548823000.0,-430560000.0,-438038000.0,-309776000.0
Common Stock Dividend Paid,-548823000.0,-430560000.0,-438038000.0,-309776000.0
Net Common Stock Issuance,-2256464000.0,-1182711000.0,-1039309000.0,-1430212000.0
Common Stock Payments,-2256464000.0,-1182711000.0,-1039309000.0,-1430212000.0
Common Stock Issuance,,,,0.0
Net Issuance Payments Of Debt,-830237000.0,-1197539000.0,-214012000.0,-1078983000.0
Net Short Term Debt Issuance,-232848000.0,28712000.0,409067000.0,262107000.0
Short Term Debt Issuance,,,,262107000.0
Net Long Term Debt Issuance,-597389000.0,-1226251000.0,-623079000.0,-1341090000.0
Long Term Debt Payments,-597389000.0,-1226251000.0,-623079000.0,-1355063000.0
Long Term Debt Issuance,,0.0,0.0,13973000.0
Investing Cash Flow,-302557000.0,-176981000.0,-128302000.0,-105086000.0
Cash Flow From Continuing Investing Activities,-302557000.0,-176981000.0,-128302000.0,-105086000.0
Net Other Investing Changes,-734000.0,14329000.0,20890000.0,70964000.0
Dividends Received Cfi,231096000.0,99643000.0,398423000.0,362181000.0
Net Investment Purchase And Sale,2705000.0,-3327000.0,-67686000.0,-97216000.0
Sale Of Investment,7224000.0,4673000.0,26083000.0,30946000.0
Purchase Of Investment,-4519000.0,-8000000.0,-93769000.0,-128162000.0
Net Business Purchase And Sale,-425562000.0,-201042000.0,-447401000.0,-375843000.0
Sale Of Business,,0.0,0.0,32340000.0
Purchase Of Business,-425562000.0,-201042000.0,-447401000.0,-408183000.0
Net PPE Purchase And Sale,-110062000.0,-86584000.0,-32528000.0,-65172000.0
Sale Of PPE,61441000.0,13215000.0,24686000.0,41551000.0
Purchase Of PPE,-171503000.0,-99799000.0,-57214000.0,-65172000.0
Operating Cash Flow,2403379000.0,5179738000.0,3265668000.0,2532774000.0
Cash Flow From Continuing Operating Activities,2403379000.0,5179738000.0,3265668000.0,2532774000.0
Dividend Received Cfo,155565000.0,53125000.0,71301000.0,45984000.0
Change In Working Capital,-1997379000.0,571536000.0,-2321356000.0,-1650902000.0
Change In Other Current Assets,-331669000.0,-451733000.0,-216250000.0,-281821000.0
Change In Payables And Accrued Expense,380380000.0,-625862000.0,701113000.0,881309000.0
Change In Payable,380380000.0,-625862000.0,701113000.0,881309000.0
Change In Account Payable,380380000.0,-625862000.0,701113000.0,881309000.0
Change In Prepaid Assets,-1631783000.0,-295761000.0,-672055000.0,-776493000.0
Change In Inventory,-285095000.0,2274083000.0,-1711766000.0,-1184121000.0
Change In Receivables,-129212000.0,-329191000.0,-422398000.0,-289776000.0
Other Non Cash Items,148000.0,-1651000.0,-2163000.0,-6775000.0
Stock Based Compensation,176676000.0,160720000.0,184086000.0,134621000.0
Unrealized Gain Loss On Investment Securities,-67226000.0,112541000.0,672212000.0,-680576000.0
Deferred Tax,60426000.0,-67968000.0,-246653000.0,191627000.0
Deferred Income Tax,60426000.0,-67968000.0,-246653000.0,191627000.0
Depreciation Amortization Depletion,115528000.0,110164000.0,87075000.0,85954000.0
Depreciation And Amortization,115528000.0,110164000.0,87075000.0,85954000.0
Operating Gains Losses,-8014000.0,279980000.0,172665000.0,-43708000.0
Earnings Losses From Equity Investments,-164099000.0,144610000.0,36302000.0,-48993000.0
Gain Loss On Investment Securities,195747000.0,151996000.0,143980000.0,40145000.0
Gain Loss On Sale Of PPE,-38837000.0,-7015000.0,-7617000.0,
Gain Loss On Sale Of Business,,0.0,0.0,-4978000.0
Net Income From Continuing Operations,3967655000.0,3961291000.0,4648501000.0,4456549000.0
