,2024-11-30,2023-11-30,2022-11-30,2021-11-30
Tax Effect Of Unusual Items,5952552.0,-12018815.2,-149623469.6,120140630.4
Tax Rate For Calcs,0.2364,0.2396,0.2284,0.2352
Normalized EBITDA,4940321000.0,5599972000.0,7529815000.0,4713410000.0
Total Unusual Items,25180000.0,-50162000.0,-655094000.0,510802000.0
Total Unusual Items Excluding Goodwill,25180000.0,-50162000.0,-655094000.0,510802000.0
Net Income From Continuing Operation Net Minority Interest,3932533000.0,3938511000.0,4614125000.0,4430111000.0
Reconciled Depreciation,115528000.0,110164000.0,87075000.0,85954000.0
Reconciled Cost Of Revenue,29942493000.0,28292382000.0,26468866000.0,21594037000.0
EBITDA,4965501000.0,5549810000.0,6874721000.0,5224212000.0
EBIT,4849973000.0,5439646000.0,6787646000.0,5138258000.0
Normalized Income,3913305552.0,3976654184.8,5119595530.4,4039449630.4
Net Income From Continuing And Discontinued Operation,3932533000.0,3938511000.0,4614125000.0,4430111000.0
Total Expenses,30591479000.0,28793720000.0,26883364000.0,21992418000.0
Diluted Average Shares,272019000.0,283319000.0,289824000.0,306612000.0
Basic Average Shares,272019000.0,283319000.0,289824000.0,306612000.0
Diluted EPS,14.31,13.73,15.72,14.27
Basic EPS,14.31,13.73,15.74,14.28
Diluted NI Availto Com Stockholders,3893710000.0,3889975000.0,4557226000.0,4374285000.0
Average Dilution Earnings,0.0,0.0,-4919000.0,-2907000.0
Net Income Common Stockholders,3893710000.0,3889975000.0,4562145000.0,4377192000.0
Otherunder Preferred Stock Dividend,38823000.0,48536000.0,51980000.0,52919000.0
Net Income,3932533000.0,3938511000.0,4614125000.0,4430111000.0
Minority Interests,-35122000.0,-22780000.0,-34376000.0,-26438000.0
Net Income Including Noncontrolling Interests,3967655000.0,3961291000.0,4648501000.0,4456549000.0
Net Income Continuous Operations,3967655000.0,3961291000.0,4648501000.0,4456549000.0
Tax Provision,1217253000.0,1241013000.0,1366065000.0,1362509000.0
Pretax Income,5184908000.0,5202304000.0,6014566000.0,5819058000.0
Other Income Expense,334935000.0,-237342000.0,-773080000.0,680800000.0
Other Non Operating Income Expenses,145656000.0,-42570000.0,-81685000.0,121005000.0
Special Income Charges,,,0.0,158069000.0
Gain On Sale Of Business,,,0.0,158069000.0
Other Special Charges,,,66399000.0,59825000.0
Earnings From Equity Interest,164099000.0,-144610000.0,-36301000.0,48993000.0
Gain On Sale Of Security,25180000.0,-50162000.0,-655094000.0,510802000.0
Operating Income,4849973000.0,5439646000.0,6787646000.0,5138258000.0
Operating Expense,648986000.0,501338000.0,414498000.0,398381000.0
Selling General And Administration,648986000.0,501338000.0,414498000.0,398381000.0
General And Administrative Expense,648986000.0,501338000.0,414498000.0,398381000.0
Other Gand A,648986000.0,501338000.0,414498000.0,398381000.0
Gross Profit,5498959000.0,5940984000.0,7202144000.0,5536639000.0
Cost Of Revenue,29942493000.0,28292382000.0,26468866000.0,21594037000.0
Total Revenue,35441452000.0,34233366000.0,33671010000.0,27130676000.0
Operating Revenue,35441452000.0,34233366000.0,33671010000.0,27130676000.0
