Category,Metric,LEN,DHI,CCL,CUK,STLA,ROL,TSCO,PHM,NVR,TOL,GELHY
Valuation,Trailing P/E,14.686716,13.404494,15.819307,15.707921,,57.308407,25.089373,10.076388,16.597967,10.755374,10.504741
Valuation,Forward P/E,12.852174,11.575081,11.303422,11.751851,5.7018847,47.95833,22.301283,12.062203,18.381056,10.139311,
Valuation,PEG Ratio,,,,,,,,,,,
Valuation,Price/Sales (ttm),0.8466683,1.3224858,1.5748239,1.5753182,0.21647142,8.016766,1.7820756,1.462015,1.9716148,1.2751493,0.08300119
Valuation,Price/Book,1.3468941,1.8879339,3.4129019,3.388871,0.37050948,19.398924,10.677426,1.9871569,5.4460917,1.6629988,33.450645
Valuation,Enterprise Value/Revenue,0.705,1.35,2.541,2.527,0.289,8.142,2.123,1.403,1.9,1.327,1.395
Valuation,Enterprise Value/EBITDA,8.467,9.69,9.349,9.299,18.749,35.564,16.562,7.055,10.497,7.673,25.573
Financial Highlights,Market Cap,28944994304.0,45295669248.0,41924960256.0,41938120704.0,31631237120.0,29504151552.0,27442640896.0,25765089280.0,20864876544.0,13984208896.0,24081739776.0
Financial Highlights,Enterprise Value,24097886208.0,46243233792.0,67642281984.0,67274919936.0,42204401664.0,29964226560.0,32697612288.0,24724705280.0,20110622720.0,14551263232.0,404864991232.0
Financial Highlights,Revenue (ttm),34186934272.0,34250399744.0,26621999104.0,26621999104.0,146121998336.0,3680305920.0,15399257088.0,17622999040.0,10582633472.0,10966722560.0,290137276416.0
Financial Highlights,Gross Profit (ttm),6244907008.0,7711799808.0,14579000320.0,14579000320.0,11962999808.0,1945399040.0,5614259200.0,4785011200.0,2505075968.0,2847049984.0,46857089024.0
Financial Highlights,EBITDA,2846257664.0,4772499968.0,7234999296.0,7234999296.0,2251000064.0,842540992.0,1974310016.0,3504635904.0,1915858944.0,1896334976.0,15831518208.0
Financial Highlights,Net Income (ttm),2078178944.0,3585200128.0,2760000000.0,2760000000.0,-2391000064.0,515939008.0,1105085952.0,2630353920.0,1433432960.0,1346486016.0,16384558080.0
Profitability,Profit Margin,0.06079,0.10468,0.10366999,0.10366999,-0.01636,0.14019,0.07176,0.14926,0.13545,0.122779995,0.05697
Profitability,Operating Margin,0.078779995,0.124680005,0.115959994,0.115959994,-0.0068300003,0.22037001,0.09215,0.17336,0.17104,0.17672001,0.03791
Profitability,Gross Margin,0.18267,0.22516,0.54763,0.54763,0.081870005,0.5286,0.36458,0.27152002,0.23672001,0.25961,0.16149999
Profitability,EBITDA Margin,0.08326,0.13934,0.27177,0.27177,0.0154,0.22893,0.12821001,0.19886999,0.18104,0.17292,0.054569997
Profitability,Return on Assets,0.04479,0.08158,0.05562,0.05562,-0.00651,0.14887,0.090100005,0.122279994,0.18898001,0.08132,0.03134
Profitability,Return on Equity,0.08406,0.14321,0.25632998,0.25632998,-0.030580001,0.36208,0.45459,0.21569,0.348,0.16860001,0.17862
Liquidity,Current Ratio,12.398,6.421,0.322,0.322,1.061,0.773,1.301,6.449,6.389,4.108,0.95
Liquidity,Quick Ratio,5.974,0.642,0.199,0.199,0.705,0.575,0.066,0.601,2.826,0.465,0.776
Liquidity,Total Cash,9824957440.0,2985400064.0,1928000000.0,1928000000.0,30971000832.0,127357000.0,184639008.0,1453908992.0,1932167040.0,1258996992.0,70749003776.0
Liquidity,Total Debt,6095284224.0,6065200128.0,27992999936.0,27992999936.0,40848998400.0,912081984.0,5722306048.0,2172651008.0,1071937984.0,2916252928.0,19815999488.0
Liquidity,Debt/Equity,27.53,24.514,227.882,227.882,55.559,59.534,222.382,16.939,27.023,35.195,20.678
Per Share,Earnings Per Share (ttm),7.98,11.57,2.02,2.02,-1.02,1.07,2.07,12.96,454.95,13.49,4.22
Per Share,Book Value Per Share,87.015,82.148,9.363,9.363,29.553629,3.161,4.864,65.717,1386.544,87.246,1.3252361
Per Share,Revenue Per Share,132.638,111.022,20.291,20.291,50.569,7.596,28.982,87.886,3580.504,110.8,575.44
Per Share,Operating Cash Flow Per Share,0.0,11.751650722303792,0.0,0.0,-0.7785444115316891,1.4580073080410503,3.458814560109115,8.556118862914062,482.53564579075544,11.709219793059166,0.0
