Category,Metric,AMD,PLTR,ASML,MU,SAP,LRCX,AMAT,QCOM,KLAC,TXN,ARM
Valuation,Trailing P/E,112.53927,451.11627,37.178333,25.259361,34.598026,38.017353,29.601145,34.983936,39.06358,32.161873,147.12987
Valuation,Forward P/E,33.280384,192.03279,34.85286,7.372256,29.013552,31.15822,22.412827,14.014355,30.052254,28.970528,49.99338
Valuation,PEG Ratio,,,,,,,,,,,
Valuation,Price/Sales (ttm),10.9266405,118.66519,12.736382,7.3573594,7.8427863,11.28067,7.273631,4.244951,13.30754,9.415726,27.243998
Valuation,Price/Book,5.7565613,70.15551,18.411913,5.296021,5.6980276,21.6504,10.060986,8.8235,33.39032,9.775859,16.228334
Valuation,Enterprise Value/Revenue,10.821,117.082,12.633,7.409,7.814,11.124,7.186,4.337,13.39,9.924,26.603
Valuation,Enterprise Value/EBITDA,57.247,520.863,33.472,14.099,26.347,31.771,22.788,13.724,29.804,21.925,111.591
Financial Highlights,Market Cap,349947527168.0,462338949120.0,410264338432.0,311304585216.0,286214651904.0,221008510976.0,206338359296.0,187983396864.0,166667845632.0,162571911168.0,120200527872.0
Financial Highlights,Enterprise Value,346574520320.0,456170045440.0,406944841728.0,313479593984.0,285150216192.0,217935282176.0,203857264640.0,192077627392.0,167702560768.0,171339972608.0,117371691008.0
Financial Highlights,Revenue (ttm),32027000832.0,3896163072.0,32212000768.0,42311999488.0,36494000128.0,19591788544.0,28367998976.0,44283998208.0,12524316672.0,17265999872.0,4412000256.0
Financial Highlights,Gross Profit (ttm),16480000000.0,3148419072.0,16979300352.0,19171000320.0,26944000000.0,9661254656.0,13808000000.0,24546000896.0,7676810752.0,9925000192.0,4296999936.0
Financial Highlights,EBITDA,6054000128.0,875796992.0,12157899776.0,22233999360.0,10823000064.0,6859485184.0,8945999872.0,13996000256.0,5626762240.0,7815000064.0,1051800000.0
Financial Highlights,Net Income (ttm),3131000064.0,1095366016.0,9463199744.0,11909000192.0,7081999872.0,5810433024.0,6998000128.0,5541000192.0,4236832000.0,5016000000.0,830000000.0
Profitability,Profit Margin,0.10323,0.28114,0.29378,0.28146,0.19406,0.29657,0.24669,0.12512,0.33828998,0.29208001,0.18812001
Profitability,Operating Margin,0.13736,0.33296,0.32841998,0.44974998,0.28272,0.34354,0.28441,0.26235,0.41661,0.36736,0.14361
Profitability,Gross Margin,0.51457,0.80807996,0.52711,0.45308998,0.73831004,0.49313,0.48675,0.55429,0.61294997,0.57483,0.97393
Profitability,EBITDA Margin,0.18902999,0.22478001,0.37743,0.52548003,0.29657,0.35012,0.31535998,0.31605,0.44926998,0.45262,0.2384
Profitability,Return on Assets,0.025980001,0.07651,0.16155,0.10934,0.09062,0.19507,0.15045999,0.14713,0.20436001,0.10697,0.060549997
Profitability,Return on Equity,0.05317,0.19504,0.53852004,0.22554001,0.17028,0.62261003,0.35508,0.2334,0.99167997,0.29757,0.12371001
Liquidity,Current Ratio,2.308,6.427,1.308,2.46,1.105,2.207,2.61,2.816,2.692,4.45,5.594
Liquidity,Quick Ratio,1.176,6.306,0.604,1.7,0.943,1.539,1.72,1.582,1.749,2.806,5.452
Liquidity,Total Cash,7242999808.0,6437816832.0,5128200192.0,10318000128.0,9934000128.0,6693045760.0,8573000192.0,10154999808.0,4683591168.0,5185999872.0,3257999872.0
Liquidity,Total Debt,3870000128.0,235436000.0,2704699904.0,12492999680.0,9121000448.0,4483942912.0,7049999872.0,15642999808.0,6088118784.0,14046000128.0,429000000.0
Liquidity,Debt/Equity,6.366,3.52,14.24,21.244,21.093,43.991,34.533,73.767,122.127,84.477,5.792
Per Share,Earnings Per Share (ttm),1.91,0.43,28.43,10.95,7.09,4.61,8.75,4.98,32.4,5.56,0.77
Per Share,Book Value Per Share,37.34,2.765,57.407394,52.226,43.049984,8.095,25.744,19.745,37.905,18.292,6.981
Per Share,Revenue Per Share,19.733,1.659,1.485846,37.795,31.319,15.337,35.284,40.405,94.569,18.979,4.178
Per Share,Operating Cash Flow Per Share,3.936017504811333,0.7956389102698349,27.806426932240228,20.161539784966727,6.257919900809703,5.082487520202543,10.03602586165025,13.083100145658264,32.33260070309427,7.590606647848301,1.4891631771842664
